text,label
Postpone CBSE Board Exams,unclear
Pay rise for paramedics and nurses,unclear
Too Soon To Open Georgia!,pro-mitigation
Request to reconsider DPS Ruby Park school tuition and transport fees for COVID-19,pro-mitigation
Covid-19 Aesthetics / Salon / Massage Industry Warning & Economic Impact,unclear
Pause classes and encourage online classes to reduce the spread of Covid-19 in AMCKK,pro-mitigation
Allow Salons to Operate with New Health Guidelines,pro-mitigation
Open Letter to the AAMC Concerning the Medical School Application Cycle During COVID-19,unclear
Canadian Nurses Deserve Hazard Pay For Pandemics,pro-mitigation
Maharashtra demands Resignation from Uddhav Thackeray,unclear
BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,pro-mitigation
Close Seattle Central College Campus Due to COVID-19 Death in Washington and New Cases,pro-mitigation
Rescue Australians Stranded in Peru due to Coronavirus,unclear
Improve COVID-19 Procedures In Correctional Facilities,pro-mitigation
Shut down Rosebank College,unclear
Stop Wildlife Medicine in China,unclear
Close Pace University NYC campus due to spread of COVID-19,pro-mitigation
Wearing face masks in public should be made mandatory by government to prevent COVID-19,pro-mitigation
Open Canada VACs in India,unclear
Reduction on Vehicle Insurance rate during COVID 19,unclear
Safeguard the Right of New Jersey Laboring Women to Have Support During COVID-19 Crisis,pro-mitigation
Petition for a Gradeless Semester,unclear
Davis Student Lease Cancellation and Rent Relief,unclear
Save the Hazlitt,unclear
Postpone CA exams for COVID Safety Reasons #CAExams,pro-mitigation
Humanitarian Appeal to Release Maulana Delawar Hossain Sayedee,unclear
Remove the CalTPA as a requirement for teachers in current educational programs,unclear
Extend the validity of PLABs and the English language test by the GMC,unclear
Release Safoora Zargar,unclear
Postpone 10th and 12th boards exam due to rise in Covid19 cases.,pro-mitigation
Fair rights for students during covid,unclear
Unmask Iowa's School Children,anti-mitigation
To allow Malaysians with valid work pass to travel in and out of singapore,unclear
Keep Omaha Public Schools Online Until COVID-19 Controlled,pro-mitigation
Joe Biden Must Step Down,unclear
"Central University of Lucknow is conducting exams from 16th , risking the health of studen",anti-mitigation
Financial Support for International Students in Australia facing hardships due to Covid-19,unclear
Freeze rent payments,unclear
"Animals are in pain, name groomers as an essential service in Ontario during COVID-19",unclear
2020-2021 Basketball Season,unclear
Save Schmidt,unclear
All frontline NHS staff to receive testing for COVID 19 if symptomatic.,pro-mitigation
"Hazard Pay for ""Essential"" workers",pro-mitigation
#FreeDarik,unclear
Start international flights in India,unclear
Please make masks mandatory in Georgia,pro-mitigation
Suspend Central Vista Project and Spend the Rs 200 Billion to Fight Covid-19,pro-mitigation
#LoveIsNotTourism: Petition for Binational Unmarried Couples to Reunite During Covid (US),anti-mitigation
Protect our children!!! Demand Covid release,unclear
Fight covid 19 san quentin,pro-mitigation
"Save the Coral City Camera, Don't Allow Disney Cruises to Destroy Our Urban Reef",unclear
Longer exercise hours - level 4 covid restrictions,unclear
Release Non-Violent Offenders in Prison Camps due to COVID-19,pro-mitigation
THE FATE OF AMAZONIA AND ITS GUARDIANS IS LINKED TO OURS - EUROPE MUST ACT IMMEDIATELY,unclear
Allow Reboot to open in San Francisco with COVID-19 safety precautions.,pro-mitigation
Petition to register Mesut Ozil in Arsenal's Premier League and Europa League squads,unclear
Arizona Stay At Home Orders : COVID-19,pro-mitigation
Petition: to award general promotion to students in colleges associated with BU Bhopal.,unclear
"Compassionate medical release for Previn Coleman, amid COVID 19 crisis in Elkton FCI Ohio",unclear
Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,pro-mitigation
Let Wisconsin Golf,unclear
SAVE DEL MAR HORSEPARK,unclear
Stop MANDATORY  Covid Testing for Suffolk County Athletes,anti-mitigation
Shut down construction sites to prevent the spread of covid 19,pro-mitigation
Have the RIIL to allow Mount Saint Charles and Hendricken to play the championship games,unclear
"Transparency, Testing, and Online Instruction to Prevent a COVID-19 Outbreak at Mizzou",pro-mitigation
Lower SDSU Cost of Basic Tuition and Fees Due to COVID-19 and Transition to Online Classes,pro-mitigation
Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,unclear
Extend JobKeeper for Travel  Agency Agents and Mobile Travel Agents (Sole Traders).,unclear
The Heritage Private School: reduce payments for educational services during COVID-19,unclear
Keep Schools Closed Through COVID-19,pro-mitigation
Give Dolly Parton the Medal of Freedom,unclear
OUR LOVED ONES ARE DYING! Stop shielding nursing homes from liability!,unclear
Stop Greyhound Bus Lines from NYC,unclear
#FREE Donte Epps,unclear
COVID-19 IN Georgia's Prisons Rise,unclear
PROTECT OHIO’S FARMWORKERS FROM COVID-19,pro-mitigation
NO to the COVID-19 Public Health Response Bill,anti-mitigation
Pressure ICBC to Waive/Defer Monthly Insurance Premiums,unclear
Meralco: Bill Shock during the Covid Crisis,unclear
Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,unclear
Allow international students to remain in the U​.​S. to complete or continue their studies.,unclear
Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,unclear
"Call for the resignation of Greg Glassman as CEO of CrossFit, Inc. #CancelGlassman",unclear
#SuspendOnlineClassesNOW,anti-mitigation
Lasershows statt Feuerwerke! #böllerfrei,unclear
Protect the UNT community from COVID-19 by suspending face-to-face classes and meetings.,pro-mitigation
Ban Gas-Powered  Leaf Blowers During COVID-19 Stay-At-Home Advisory in Massachusetts,pro-mitigation
"British people STILL showing support for Boris, despite the biased left media",unclear
"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",pro-mitigation
Keep Dr. Annie Bukacek on the Flathead City-County Health Board,unclear
"Stop Supporting Animal Cruelty, Tropical Smoothie Cafe!",unclear
Covid-19 Airbnb Hosts Economic Hardship,unclear
COVID-19,unclear
COVID-19 Impact: Need waiver for Small & Medium Business owners.,unclear
"Allocation of 20M to each Mp should instead go support health centers, doctors and nurses.",unclear
Abortion must be accessible for women across the EU,unclear
Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,pro-mitigation
"Request to set up a Covid 19 testing laboratory at GTA region, West Bengal.",pro-mitigation
Tamil Nadu needs to close colleges due to COVID- 19  Do You agree?,pro-mitigation
"LET'S GET HOUSE BILL 1532 PASSED, REDUCE JAIL & PRISON POPULATIONS FROM SPREADING COVID-19",pro-mitigation
Postpone/Cancel CAIE's in Pakistan May/June 2020 due to Coronavirus outbreak.,pro-mitigation
Release Currie Hall Residents from Leases Amid COVID-19 Pandemic,unclear
Allow Parents in Botswana  to Purchase Baby & Children's Essentials for the Winter,unclear
Save covid-19 old infected patients across the world,pro-mitigation
Change to Durham University Assesment in light of COVID-19 Pandemic.,unclear
Hospital visits to be permitted to critical patients who need their loved ones around them,unclear
Extend education loan grace period to support the graduates struggling to find jobs #COVID,pro-mitigation
COVID-19 Isn't Over and We Need Help: Tell the Senate to Pass the HEROES Act Immediately,unclear
Uso de mascarillas obligatorio en España para COVID-19,unclear
Hobart City Council should allow health workers to park for free during COVID-19 crisis.,pro-mitigation
Less Schoolwork during COVID-19 Quarantine,unclear
Requesting Free State Gov to provide list of companies who received Covid-19 Relief Fund,unclear
Allow Cruise Ships to come to Alaska,unclear
Doula Support in Nebraska Hospitals during COVID-19 Outbreaks,pro-mitigation
Cancellation of semester exam 2019-2020 and using our exam fees to Relief fund.,unclear
Announce holidays for teachers and non teaching staff to combat corona threat,pro-mitigation
Save Lives! Include ALL Diabetics in the COVID vaccine rollout in California,pro-mitigation
"#saveliveslivebetter-Walmart Canada, please help keep your associates and customers safer!",unclear
Summer 2020 Graduations to be POSTPONED not CANCELLED,unclear
Eviction Moratorium South Africa,unclear
Students concern related to fees submission amid this covid.,unclear
Cancel school for at least two weeks to slow down the spread of COVID-19,pro-mitigation
Protect Inmates And Correctional Facility Staff Against Covid,pro-mitigation
A green recovery from COVID-19 in Northern Ireland,unclear
Expansion of covid related subsidies to new businesses,pro-mitigation
Demand Science-Based School Reopening Criteria in AZ!,unclear
Stop all air travel to Ireland from covid hotspots in the US,pro-mitigation
新型コロナウイルス感染拡大に伴う差別行為＝「コロナ差別」に際して日本政府に対策を求めます ー #差別を許さない,unclear
"Cancel International A Level & IGCSE Exams 2021
(CIE & Edexcel)",unclear
La entrada de las Doulas al proceso de parto junto al acompañante de la paciente.,unclear
Shut Down Leeds Arts University for COVID-19,pro-mitigation
STOP THE COVID-19 VACCINATION CAMPAIGN,anti-mitigation
Pass all the CFISD students for the spring semester,unclear
Close All Educational Institutions for Teachers and Other Staff #KeepTeachersSafe,pro-mitigation
Alberni Grocers: Seniors-Only Hour Will Save Lives,pro-mitigation
Lower USask Tuition Rates for 2020/21,unclear
OFW DOLE Akap must be available to all OFW Landbased and Seabased.,unclear
Rakyat Dan LPP-TIPIKOR RI Mendesak Pemerintah RI Lakukan Kesepakatan Dengan UN-SWISSINDO,unclear
Make Insurance Companies Grant Full Benefit Access During Covid,unclear
�Act Now: Temp Las Vegas Rent Freeze,unclear
